File Name	X	Y	Z	V	SA	ZSA	XY	EV	PrintTime
ARM	10.85	24.504	28.903	534.08	685.664	19817.573	265.87	7684.364	12.25
Bear	114.927	114.764	203.047	521494.127	56594.402	11491295.81	13189.478	2678077.464	395.333
Body	26	22.496	30	6738.644	2607.366	78220.986	584.898	17546.944	25.533
Bolt1	13.856	12	30	1575.259	1215.058	36451.729	166.277	4988.304	15.8
Bolt2	13.101	13.097	30	1315.144	1191.881	35756.429	171.587	5147.624	16.017
Bowl1	60	59.671	59.4	108323.791	16316.713	969212.771	3580.284	212668.869	95.65
Bowl2	120	120	59.4	422347.033	39450.965	2343387.372	14400	855360.022	406.217
Bowl3	126.017	126.711	59.4	521901.756	38695.563	2298516.472	15967.727	948483.015	321.017
Bowl4	122.988	123.665	59.4	518478.772	37248.199	2212543.09	15209.261	903430.127	259.2
Brick2	8	8	11.2	446.107	628.829	7042.88	64	716.8	7.6
Brick3	15.8	15.8	11.4	1338.287	1908.208	21753.571	249.64	2845.896	10.433
BrownBear	17.732	58.526	33.006	10079.581	3694.376	121938.287	1037.751	34252.492	36.35
Camel	21.982	91.05	62.574	18926.714	7393.327	462630.063	2001.461	125239.447	72.667
Cannon	80	38	57.001	66161.235	16618.57	947275.117	3040	173283.038	123.867
Cat	89.016	47.735	66.323	82622.287	11911.895	790036.556	4249.162	281818.584	97.733
Character1	85	118	132	171786.877	41004.66	5412615.141	10030	1323960	285.417
Character2	89	93	100	173283.294	42163.324	4216332.422	8277	827700	317.15
ChessBishop	31.752	31.752	61.792	12794.466	4820.958	297898.041	1008.19	62298.349	48
ChessKing	36.504	36.504	77.8	19390.32	6184.433	481149.764	1332.542	103671.965	60.15
ChessKnight	31.752	31.752	51.943	14938.051	4618.923	239922.105	1008.19	52368.695	43.833
ChessPawn	27	27	44.5	7529.689	3098.643	137889.606	729	32440.5	34.15
Chicken	139.859	92.411	176.76	736649.16	50966.633	9008842.294	12924.49	2284527.897	552.35
ChristmasTree1	72.738	73.861	100	123672.838	18582.318	1858231.836	5372.509	537250.912	110.533
ChristmasTree2	56.25	64.952	100	56338.426	12176.942	1217694.238	3653.55	365355.02	77.067
Cone1	129.815	120.923	180	959937.503	63013.438	11342418.75	15697.646	2825576.249	472.1
Cone2	136.041	132.4	180	1082047.453	68108.648	12259556.72	18011.831	3242129.535	574.667
Cone3	60	59.671	180	216768.133	33913.805	6104484.844	3580.284	644451.1	208.517
Cow1	19.915	68.208	42.701	14757.157	4558.771	194663.093	1358.362	58003.122	42.417
Cow2	117.797	154.618	131.04	599617.372	45542.406	5967897.457	18213.596	2386717.81	493.583
Cup1	132.531	133.26	180	1084936.231	83008.672	14941560.94	17661.069	3178992.35	749.7
Cup2	56.833	56.685	180	199538.721	35842.133	6451583.906	3221.59	579886.189	219.433
Cup3	93.132	93.645	180	740039.201	62090.082	11176214.77	8721.318	1569837.187	423.75
Cup4	94.348	94.608	180	714724.713	59614.098	10730537.58	8926.104	1606698.703	476.483
Cup5	45.545	45.295	180	135525.161	31504.16	5670748.828	2062.979	371336.193	201.883
Cylinder1	128	129.344	180	2073706.024	91842.047	16531568.44	16555.98	2980076.484	815.6
Cylinder2	120	120	180	1792241.69	89380.344	16088461.88	14400	2592000	751.783
Cylinder3	133.148	140	180	2224922.61	101486.305	18267534.84	18640.719	3355329.474	942.767
Cylinder4	120	120	180	1729858.95	90359.109	16264639.69	14400	2592000	760.033
Cylinder5	120	120	180	1223194.919	83903.891	15102700.31	14400	2592000	593.8
Dino	41.519	68.661	59.235	40959.965	8943.541	529770.623	2850.705	168861.523	67.367
Dog	27.808	98.551	78.53	37153.592	10797.197	847908.584	2740.528	215214.86	99.483
Dolphin	21.562	75.544	22.243	5184.053	2472.48	54995.97	1628.846	36230.823	21.783
ElephantHead	105.934	133.212	67.072	125285.756	24131.199	1618519.659	14111.662	946492.664	207.283
Frog	64.449	49.794	21.843	10562.619	4624.117	101005.775	3209.156	70098.418	33.783
Giraffe	70.316	50.866	78.477	36621.952	9013.027	707315.392	3576.678	280686.938	75.917
Glass1	119.476	119.476	180	1284643.529	71491.039	12868387.03	14274.419	2569395.471	563.383
Glass2	119.325	115.405	180	1033029.38	66842.609	12031669.69	13770.654	2478717.682	478.167
Glass3	126.601	129.742	180	1316323.383	75709.063	13627631.25	16425.545	2956598.065	608.817
Holder	22.86	5.08	22.225	1048.224	1368.128	30406.652	116.129	2580.963	15.45
Labrador	72.469	103.208	113.252	178620.813	23439.549	2654576.295	7479.314	847047.392	169.783
Leg	12.4	41.955	17.057	1047.415	1347.357	22981.661	520.243	8873.707	13.8
Mask1	138.205	93.711	55.516	73985.932	27985.154	1553615.68	12951.274	718999.152	123.183
Mask2	18.87	11.291	27.721	633.568	1371.205	38011.518	213.066	5906.441	13.617
Moai	59.117	43.701	73.908	51205.018	10154.174	750476.277	2583.485	190940.584	75.183
Moose	63.126	103.9	71.374	48481.972	15411.507	1099980.897	6558.791	468127.184	145.267
Owl	76.478	69.401	151.178	331614.297	36308.211	5489012.459	5307.65	802401.306	250.083
panter	26.304	108.053	36.17	22845.583	7847.866	283857.815	2842.267	102804.986	67.933
Parrot	29.963	74.942	50.844	14527.183	6181.278	314282.104	2245.455	114168.351	62.517
Pattern1	52.062	53.114	63.183	90269.507	10076.086	636634.518	2765.254	174716.293	65.367
Pattern2	52.908	53.161	65	90110.239	13349.805	867737.305	2812.611	182819.693	126.55
phoneHolder	25	76.741	90.478	33479.417	17501.406	1583489.776	1918.517	173583.339	106.667
PhoneStand	83.567	67	84.987	86585.892	30492.344	2591438.845	5598.973	475837.33	166.017
plantygonNoholes	100	100	100	62414.6	43451.758	4345179.096	10000.014	1000002.213	217.15
Pumpkin1	71.601	70	71.356	66462.872	22487.873	1604654.34	5012.07	357643.412	147.567
Pumpkin2	86.38	84.265	59.849	181434.416	18263.25	1093036.395	7278.741	435625.006	155.3
Rabbit	46.782	45.75	52.06	25750.584	6509.064	338862.922	2140.264	111422.506	59.133
RhinoHead	53.77	74.034	67.767	101434.249	14699.434	996140.08	3980.802	269767.952	95.533
Rod	8	8	100.005	3762.486	3119.288	311944.396	64	6400.32	47.817
rotated_x_1_ARM	10.85	26.786	27.55	534.08	685.664	18890.059	290.627	8006.766	9.067
rotated_x_1_Bear	114.927	114.874	203.61	521494.131	56594.398	11523194.14	13202.187	2688099.262	418.967
rotated_x_1_Body	26	33.106	25.308	6738.644	2607.366	65987.957	860.749	21784.073	26.65
rotated_x_1_Bolt1	13.856	31.26	16.167	1575.259	1215.058	19644.226	433.148	7002.849	13.367
rotated_x_1_Bolt2	13.101	19.709	31.247	1315.144	1191.881	37242.64	258.218	8068.518	23.467
rotated_x_1_Bowl1	60	70.044	74.862	108323.792	16316.713	1221502.126	4202.628	314617.267	153.3
rotated_x_1_Bowl2	120	103.786	112.7	422347.048	39450.965	4446107.665	12454.292	1403593.634	341.6
rotated_x_1_Bowl3	126.017	60.128	126.707	521901.75	38695.563	4903010.475	7577.093	960073.095	362
rotated_x_1_Bowl4	122.988	123.66	60.217	518478.765	37248.199	2242981.171	15208.701	915824.934	262.65
rotated_x_1_Brick1	16	15.973	25.283	2175.819	2228.552	56343.517	255.572	6461.506	22.283
rotated_x_1_Brick2	8	12.434	12.475	446.107	628.829	7844.772	99.475	1240.97	7.1
rotated_x_1_Brick3	15.8	14.026	17.399	1338.287	1908.208	33200.215	221.605	3855.63	15.95
rotated_x_1_BrownBear	17.732	56.873	33.645	10079.58	3694.376	124295.822	1008.439	33928.547	36.367
rotated_x_1_Camel	21.982	92.462	67.991	18926.714	7393.327	502676.64	2032.502	138190.98	78.783
rotated_x_1_Cannon	80	58.909	56.264	66161.236	16618.57	935022.294	4712.73	265155.644	142.183
rotated_x_1_Cat	89.016	47.678	69.923	82622.287	11911.895	832920.994	4244.136	296764.734	103.65
rotated_x_1_Character1	85	143.728	108.446	171786.884	41004.664	4446777.686	12216.867	1324866.128	322.733
rotated_x_1_Character2	89	90.95	112.585	173283.293	42163.32	4746975.715	8094.574	911331.146	351.283
rotated_x_1_ChessBishop	31.752	31.849	62.887	12794.465	4820.958	303176.885	1011.268	63595.881	51.75
rotated_x_1_ChessKing	36.504	79.641	37.926	19390.32	6184.433	234548.684	2907.202	110257.533	49.933
